Data,Mes,Ano,Precipitacao
1/1/1979,Jan,1979,8.144
1/2/1979,Jan,1979,14.081
1/3/1979,Jan,1979,1.071
1/4/1979,Jan,1979,3.56
1/5/1979,Jan,1979,4.079
1/6/1979,Jan,1979,4.779
1/7/1979,Jan,1979,17.07
1/8/1979,Jan,1979,20.05
1/9/1979,Jan,1979,6.089
1/10/1979,Jan,1979,14.047
1/11/1979,Jan,1979,5.18
1/12/1979,Jan,1979,3.511
1/13/1979,Jan,1979,15.985
1/14/1979,Jan,1979,25.808
1/15/1979,Jan,1979,18.23
1/16/1979,Jan,1979,8.25
1/17/1979,Jan,1979,22.149
1/18/1979,Jan,1979,12.553
1/19/1979,Jan,1979,11.42
1/20/1979,Jan,1979,5.809
1/21/1979,Jan,1979,19.951
1/22/1979,Jan,1979,7.893
1/23/1979,Jan,1979,1.729
1/24/1979,Jan,1979,2.858
1/25/1979,Jan,1979,12.308
1/26/1979,Jan,1979,14.852
1/27/1979,Jan,1979,10.743
1/28/1979,Jan,1979,6.367
1/29/1979,Jan,1979,5.319
1/30/1979,Jan,1979,8.113
1/31/1979,Jan,1979,7.922
2/1/1979,Fev,1979,4.752
2/2/1979,Fev,1979,11.551
2/3/1979,Fev,1979,15.273
2/4/1979,Fev,1979,14.529
2/5/1979,Fev,1979,11.633
2/6/1979,Fev,1979,4.394
2/7/1979,Fev,1979,8.216
2/8/1979,Fev,1979,27.352
2/9/1979,Fev,1979,18.821
2/10/1979,Fev,1979,14.628
2/11/1979,Fev,1979,11.173
2/12/1979,Fev,1979,11.196
2/13/1979,Fev,1979,10.561
2/14/1979,Fev,1979,3.53
2/15/1979,Fev,1979,10.638
2/16/1979,Fev,1979,22.173
2/17/1979,Fev,1979,18.886
2/18/1979,Fev,1979,33.745
2/19/1979,Fev,1979,1.557
2/20/1979,Fev,1979,19.199
2/21/1979,Fev,1979,17.975
2/22/1979,Fev,1979,2.738
2/23/1979,Fev,1979,36.114
2/24/1979,Fev,1979,3.078
2/25/1979,Fev,1979,1.318
