X,Y,Head 1
700652.2143,7537548.206,582.423645
700752.0714,7537548.206,582.437561
700851.9286,7537548.206,582.4579468
700951.7857,7537548.206,582.5526123
700352.6429,7537448.608,582.1795654
700452.5,7537448.608,582.2251587
700552.3571,7537448.608,582.3110962
700652.2143,7537448.608,582.3880615
700752.0714,7537448.608,582.4208984
700851.9286,7537448.608,582.4573364
700951.7857,7537448.608,582.4780884
701051.6429,7537448.608,582.4807129
701151.5,7537448.608,582.4877319
700352.6429,7537349.009,582.097229
700452.5,7537349.009,582.1160889
700552.3571,7537349.009,582.1397095
700652.2143,7537349.009,582.2243652
700752.0714,7537349.009,582.3209229
700851.9286,7537349.009,582.3692627
700951.7857,7537349.009,582.3917847
701051.6429,7537349.009,582.4295044
701151.5,7537349.009,582.4101563
701251.3571,7537349.009,582.4312134
700252.7857,7537249.41,581.8512573
700352.6429,7537249.41,581.9290771
700452.5,7537249.41,581.9324341
700552.3571,7537249.41,581.9818726
700652.2143,7537249.41,582.0084229
700752.0714,7537249.41,582.18573
700851.9286,7537249.41,582.2810059
700951.7857,7537249.41,582.3140869
701051.6429,7537249.41,582.3034668
701151.5,7537249.41,582.2833862
701251.3571,7537249.41,582.2509155
700152.9286,7537149.811,581.4559326
700252.7857,7537149.811,581.6000977
700352.6429,7537149.811,581.7405396
700452.5,7537149.811,581.6729736
700552.3571,7537149.811,581.6772461
700652.2143,7537149.811,581.6565552
700752.0714,7537149.811,581.7983398
700851.9286,7537149.811,582.0166016
700951.7857,7537149.811,582.1030273
701051.6429,7537149.811,582.1011963
701151.5,7537149.811,582.0731812
701251.3571,7537149.811,582.0454102
701351.2143,7537149.811,582.0050049
700152.9286,7537050.212,581.0745239
700252.7857,7537050.212,581.1103516
700352.6429,7537050.212,581.1200562
700452.5,7537050.212,581.2001343
700552.3571,7537050.212,581.1792603
700652.2143,7537050.212,581.1241455
700752.0714,7537050.212,581.071167
700851.9286,7537050.212,581.1538086
700951.7857,7537050.212,581.3192749
701051.6429,7537050.212,581.5524292
701151.5,7537050.212,581.7003174
701251.3571,7537050.212,581.7695923
701351.2143,7537050.212,581.7752686
701451.0714,7537050.212,581.6593018
700152.9286,7536950.613,580.7880249
700252.7857,7536950.613,580.3623047
700352.6429,7536950.613,580.0078125
700452.5,7536950.613,579.8379517
700552.3571,7536950.613,579.7366943
700652.2143,7536950.613,579.6988525
700752.0714,7536950.613,579.7457275
700851.9286,7536950.613,579.8686523
700951.7857,7536950.613,580.173584
701051.6429,7536950.613,580.567627
701151.5,7536950.613,580.9180298
701251.3571,7536950.613,581.1850586
701351.2143,7536950.613,581.3395386
701451.0714,7536950.613,581.4372559
699953.2143,7536851.015,581.5522461
700053.0714,7536851.015,581.2228394
700152.9286,7536851.015,580.628418
700252.7857,7536851.015,579.8342285
700352.6429,7536851.015,579.2290039
700452.5,7536851.015,576.7366333
700552.3571,7536851.015,577.515564
700652.2143,7536851.015,577.4405518
700752.0714,7536851.015,577.2636108
700851.9286,7536851.015,577.3425903
700951.7857,7536851.015,577.7261353
701051.6429,7536851.015,578.7766724
701151.5,7536851.015,580.6060181
701251.3571,7536851.015,580.7540894
701351.2143,7536851.015,580.9370117
701451.0714,7536851.015,581.0266724
701550.9286,7536851.015,580.8700562
699753.5,7536751.416,581.4818726
699853.3571,7536751.416,581.4623413
699953.2143,7536751.416,581.4300537
700053.0714,7536751.416,581.1756592
700152.9286,7536751.416,580.5308838
700252.7857,7536751.416,579.8837891
700352.6429,7536751.416,579.2754517
700452.5,7536751.416,576.046814
700552.3571,7536751.416,568.2541504
700652.2143,7536751.416,569.7389526
700752.0714,7536751.416,571.0377197
700851.9286,7536751.416,573.1032104
700951.7857,7536751.416,574.7703247
701051.6429,7536751.416,576.1377563
701151.5,7536751.416,578.1240234
701251.3571,7536751.416,580.1611938
701351.2143,7536751.416,580.5714722
701451.0714,7536751.416,580.8781738
701550.9286,7536751.416,580.9779663
699753.5,7536651.817,581.5129395
699853.3571,7536651.817,581.5525513
699953.2143,7536651.817,581.336853
700053.0714,7536651.817,581.0979614
700152.9286,7536651.817,580.5245361
700252.7857,7536651.817,579.869873
700352.6429,7536651.817,579.3469238
700452.5,7536651.817,577.4866333
700552.3571,7536651.817,574.1412964
700652.2143,7536651.817,570.8287964
700752.0714,7536651.817,559.2733154
700851.9286,7536651.817,561.4905396
700951.7857,7536651.817,565.8670654
701051.6429,7536651.817,572.3086548
701151.5,7536651.817,575.0315552
701251.3571,7536651.817,577.4954834
701351.2143,7536651.817,579.2102661
701451.0714,7536651.817,579.8543091
701550.9286,7536651.817,580.1915283
699853.3571,7536552.218,581.3898926
699953.2143,7536552.218,581.2946167
700053.0714,7536552.218,581.0879517
700152.9286,7536552.218,580.6339111
700252.7857,7536552.218,580.1544189
700352.6429,7536552.218,579.4855347
700452.5,7536552.218,577.5106201
700552.3571,7536552.218,576.4121704
700652.2143,7536552.218,573.395813
700752.0714,7536552.218,569.8146362
700851.9286,7536552.218,568.9614868
700951.7857,7536552.218,554.815979
