id_sacre,lon,lat
P001,-49.09997038,-22.32523917
P002,-49.03465974,-22.31989091
P003,-49.05020726,-22.33792286
P004,-49.09599414,-22.32806425
P006,-49.03197724,-22.37054583
P007,-49.07865312,-22.38137454
P008,-49.07891708,-22.38053784
P009,-49.09559621,-22.36099422
P010,-49.04593623,-22.35984241
P011,-49.09552135,-22.37056577
P012,-49.06385481,-22.31434535
P014,-49.07598319,-22.3429089
P015,-49.07194448,-22.32555556
P016,-49.04995486,-22.3423899
P017,-49.03538513,-22.29517441
P019,-49.07321181,-22.2896679
P020,-49.02728707,-22.35715091
P021,-49.06430941,-22.34877508
P022,-49.07703034,-22.32325279
P023,-49.06396157,-22.29857931
P024,-49.0471548,-22.28026269
P025,-49.04610367,-22.27916638
P026,-49.12089314,-22.32709059
P027,-49.07945983,-22.38124867
P028,-49.09946821,-22.28920093
P029,-49.07475275,-22.35001034
P030,-49.07262239,-22.31430533
P031,-49.06638468,-22.33169609
P033,-49.05404744,-22.32763819
P034,-49.05404744,-22.32763819
P036,-49.06837128,-22.32608474
P037,-49.06759611,-22.3235921
P038,-49.05862705,-22.33001395
P039,-49.07549688,-22.29952933
P040,-49.07804623,-22.33170841
P041,-49.06168913,-22.3146536
P042,-49.01817562,-22.31087658
P043,-49.06063758,-22.33827384
P044,-49.05065909,-22.339915
P045,-49.08925012,-22.34308403
P046,-49.07294636,-22.28914098
P047,-49.04617142,-22.31615602
P048,-49.09568464,-22.32390652
P049,-49.10325701,-22.34583144
P050,-49.12651093,-22.3206535
P051,-49.0570907,-22.34190674
P052,-49.0464459,-22.33373257
P053,-49.0558292,-22.32605215
P054,-48.98215737,-22.31357483
P055,-49.06970544,-22.35621742
P056,-49.06986984,-22.34372115
P057,-49.11765374,-22.31698375
P058,-49.01196704,-22.32137507
P059,-49.07380634,-22.33545089
P060,-49.04688564,-22.29369682
P061,-49.04455015,-22.3383965
P062,-49.05884482,-22.31911676
P063,-49.02221698,-22.38610342
P064,-49.02382854,-22.38729706
P065,-49.02341739,-22.38656961
